"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"167","FlyBase Gene Group","FBgg0001176","CPR CUTICLE PROTEIN FAMILY","Complex-12",3.65e-06,12,92,219,1,"Complex-12"
"168","FlyBase Gene Group","FBgg0000482","OXIDATIVE PHOSPHORYLATION CHAIN COMPLEX SUBUNITS","Complex-12",3.71e-06,13,120,219,2,"Complex-12, LinearDown-6"
"169","FlyBase Gene Group","FBgg0001841","MITOCHONDRIAL OXPHOS COMPLEX VARIANTS","Complex-12",3.71e-06,13,115,219,2,"Complex-12, LinearDown-6"
"170","FlyBase Gene Group","FBgg0001853","OXIDATIVE PHOSPHORYLATION GROUPS","Complex-12",3.71e-06,13,120,219,2,"Complex-12, LinearDown-6"
"171","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-7",4.12e-06,18,973,66,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"172","SLIM2 GO BP","GO:0006950","response to stress","LinearUp-3",4.19e-06,54,1197,286,5,"LinearUp-2, LinearUp-3, LinearUp-5, LinearUp-7, LinearUp-8"
"173","REACTOME pathway","R-DME-202403","TCR signaling","LinearUp-1",4.76e-06,13,66,438,1,"LinearUp-1"
"174","REACTOME pathway","R-DME-4086400","PCP/CE pathway","LinearUp-1",4.76e-06,13,66,438,1,"LinearUp-1"
"175","SLIM2 GO BP","GO:0048878","chemical homeostasis","LinearDown-6",5.1e-06,54,270,1320,2,"LinearDown-6, LinearUp-2"
"176","REACTOME pathway","R-DME-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","LinearUp-7",5.4e-06,11,147,130,1,"LinearUp-7"
"177","REACTOME pathway","R-DME-446652","Interleukin-1 family signaling","LinearUp-1",5.53e-06,13,67,438,1,"LinearUp-1"
"178","FlyBase Gene Group","FBgg0000501","HEAT SHOCK PROTEINS","LinearUp-7",5.54e-06,9,85,130,2,"LinearUp-5, LinearUp-7"
"179","REACTOME pathway","R-DME-8856688","Golgi-to-ER retrograde transport","LinearUp-7",6.19e-06,9,91,130,1,"LinearUp-7"
"180","SLIM2 GO MF","GO:0051082","unfolded protein binding","LinearUp-7",6.9e-06,9,90,130,2,"Complex-14, LinearUp-7"
"181","SLIM2 GO BP","GO:0042221","response to chemical","LinearDown-6",7.06e-06,164,1159,1320,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"182","SLIM2 GO CC","GO:0005829","cytosol","LinearUp-2",7.13e-06,52,790,421,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"183","REACTOME pathway","R-DME-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","LinearUp-1",7.49e-06,12,58,438,1,"LinearUp-1"
"184","REACTOME pathway","R-DME-1430728","Metabolism","LinearDown-1",8.17e-06,39,1212,167,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"185","REACTOME pathway","R-DME-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Complex-12",8.21e-06,13,110,219,2,"Complex-12, LinearDown-6"
"186","SLIM2 GO CC","GO:0005730","nucleolus","LinearUp-6",1.02e-05,12,226,115,2,"LinearUp-4, LinearUp-6"
"187","SLIM2 GO CC","GO:0005739","mitochondrion","Complex-7",1.21e-05,16,792,66,4,"Complex-2, Complex-3, Complex-7, LinearDown-6"
"188","REACTOME pathway","R-DME-3858494","Beta-catenin independent WNT signaling","LinearUp-1",1.22e-05,14,84,438,1,"LinearUp-1"
"189","REACTOME pathway","R-DME-983705","Signaling by the B Cell Receptor (BCR)","LinearUp-1",1.22e-05,13,72,438,1,"LinearUp-1"
"190","REACTOME pathway","R-DME-112310","Neurotransmitter release cycle","LinearDown-6",1.23e-05,21,61,1320,3,"Complex-12, LinearDown-4, LinearDown-6"
"191","REACTOME pathway","R-DME-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","LinearUp-1",1.3e-05,14,85,438,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"192","REACTOME pathway","R-DME-72312","rRNA processing","LinearUp-1",1.3e-05,14,85,438,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"193","REACTOME pathway","R-DME-8868773","rRNA processing in the nucleus and cytosol","LinearUp-1",1.3e-05,14,85,438,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"194","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-12",1.32e-05,52,1657,219,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"195","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","LinearDown-6",1.39e-05,217,1657,1320,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"196","REACTOME pathway","R-DME-8963691","Phenylalanine and tyrosine metabolism","Complex-10",1.69e-05,4,10,78,1,"Complex-10"
"197","DRSC GLAD Gene Group","GLAD:24590","Major signaling pathways","LinearUp-5",1.72e-05,40,330,699,1,"LinearUp-5"
"198","SLIM2 GO BP","GO:0000278","mitotic cell cycle","LinearUp-3",1.72e-05,29,487,286,2,"LinearUp-2, LinearUp-3"
"199","FlyBase Gene Group","FBgg0000087","COAT PROTEIN COMPLEX I","LinearUp-7",1.93e-05,4,8,130,1,"LinearUp-7"
"200","REACTOME pathway","R-DME-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","LinearUp-1",2.28e-05,11,54,438,2,"Complex-6, LinearUp-1"
"201","REACTOME pathway","R-DME-5621481","C-type lectin receptors (CLRs)","LinearUp-1",2.31e-05,13,77,438,1,"LinearUp-1"
"202","FlyBase Gene Group","FBgg0000178","AMINE RECEPTORS","LinearDown-4",2.49e-05,7,21,259,1,"LinearDown-4"
"203","FlyBase Gene Group","FBgg0001849","MITOCHONDRIAL COMPLEX V","LinearDown-6",2.49e-05,10,16,1320,2,"Complex-12, LinearDown-6"
"204","SLIM2 GO BP","GO:0051321","meiotic cell cycle","LinearUp-3",2.54e-05,18,221,286,2,"LinearUp-2, LinearUp-3"
"205","REACTOME pathway","R-DME-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","LinearUp-1",2.55e-05,12,66,438,1,"LinearUp-1"
"206","REACTOME pathway","R-DME-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","LinearUp-1",2.88e-05,12,67,438,1,"LinearUp-1"
"207","REACTOME pathway","R-DME-69275","G2/M Transition","LinearUp-1",2.88e-05,13,79,438,1,"LinearUp-1"
"208","REACTOME pathway","R-DME-1234174","Cellular response to hypoxia","LinearUp-1",2.93e-05,11,56,438,2,"Complex-6, LinearUp-1"
"209","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-9",2.97e-05,29,2313,69,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"210","REACTOME pathway","R-DME-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","LinearUp-1",3.21e-05,12,68,438,1,"LinearUp-1"
"211","SLIM2 GO BP","GO:0060429","epithelium development","LinearUp-2",3.23e-05,59,970,421,3,"Complex-8, LinearUp-2, LinearUp-5"
"212","REACTOME pathway","R-DME-556833","Metabolism of lipids","LinearDown-1",3.35e-05,21,452,167,2,"Complex-2, LinearDown-1"
"213","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-3",3.54e-05,9,973,21,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"214","REACTOME pathway","R-DME-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","LinearUp-1",3.59e-05,12,69,438,1,"LinearUp-1"
"215","REACTOME pathway","R-DME-453274","Mitotic G2-G2/M phases","LinearUp-1",3.59e-05,13,81,438,1,"LinearUp-1"
"216","REACTOME pathway","R-DME-75815","Ubiquitin-dependent degradation of Cyclin D","LinearUp-1",3.67e-05,10,47,438,1,"LinearUp-1"
"217","REACTOME pathway","R-DME-2454202","Fc epsilon receptor (FCERI) signaling","LinearUp-1",3.86e-05,13,82,438,1,"LinearUp-1"
"218","SLIM2 GO BP","GO:0060541","respiratory system development","LinearUp-5",3.89e-05,32,252,699,1,"LinearUp-5"
"219","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","LinearDown-1",4.26e-05,54,2313,167,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"220","FlyBase Gene Group","FBgg0000499","VOLTAGE-GATED POTASSIUM CHANNEL - ALPHA SUBUNITS","LinearDown-4",4.4e-05,5,9,259,1,"LinearDown-4"
"221","REACTOME pathway","R-DME-174084","Autodegradation of Cdh1 by Cdh1:APC/C","LinearUp-1",4.48e-05,11,60,438,1,"LinearUp-1"
"222","REACTOME pathway","R-DME-174154","APC/C:Cdc20 mediated degradation of Securin","LinearUp-1",4.48e-05,11,60,438,1,"LinearUp-1"
"223","REACTOME pathway","R-DME-2467813","Separation of Sister Chromatids","LinearUp-1",4.48e-05,11,60,438,1,"LinearUp-1"
"224","REACTOME pathway","R-DME-4641257","Degradation of AXIN","LinearUp-1",4.48e-05,10,49,438,1,"LinearUp-1"
"225","REACTOME pathway","R-DME-4641258","Degradation of DVL","LinearUp-1",4.48e-05,10,49,438,1,"LinearUp-1"
"226","REACTOME pathway","R-DME-68882","Mitotic Anaphase","LinearUp-1",4.48e-05,14,97,438,2,"LinearUp-1, LinearUp-3"
"227","REACTOME pathway","R-DME-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","LinearUp-1",4.48e-05,10,49,438,1,"LinearUp-1"
"228","REACTOME pathway","R-DME-69610","p53-Independent DNA Damage Response","LinearUp-1",4.48e-05,10,49,438,1,"LinearUp-1"
"229","REACTOME pathway","R-DME-69613","p53-Independent G1/S DNA damage checkpoint","LinearUp-1",4.48e-05,10,49,438,1,"LinearUp-1"
"230","SLIM2 GO CC","GO:0005634","nucleus","LinearUp-3",4.72e-05,90,2667,286,3,"LinearUp-2, LinearUp-3, LinearUp-4"
"231","FlyBase Gene Group","FBgg0001186","CHITIN BINDING DOMAIN-CONTAINING PROTEINS","Complex-12",5.16e-05,10,86,219,1,"Complex-12"
"232","REACTOME pathway","R-DME-2555396","Mitotic Metaphase and Anaphase","LinearUp-1",5.24e-05,14,99,438,2,"LinearUp-1, LinearUp-3"
"233","REACTOME pathway","R-DME-5610780","Degradation of GLI1 by the proteasome","LinearUp-1",5.24e-05,10,50,438,1,"LinearUp-1"
"234","DRSC GLAD Gene Group","GLAD:24588","Ion channel","LinearDown-6",5.3e-05,57,326,1320,1,"LinearDown-6"
"235","FlyBase Gene Group","FBgg0000215","ENDOSOMAL SORTING COMPLEXES REQUIRED FOR TRANSPORT","LinearUp-5",5.5e-05,9,20,699,2,"LinearUp-1, LinearUp-5"
"236","SLIM2 GO BP","GO:0009605","response to external stimulus","LinearDown-6",5.7e-05,139,995,1320,5,"Complex-11, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"237","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-9",5.78e-05,23,1657,69,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"238","REACTOME pathway","R-DME-888590","GABA synthesis, release, reuptake and degradation","LinearDown-6",5.81e-05,10,17,1320,1,"LinearDown-6"
"239","FlyBase Gene Group","FBgg0001483","METALLO-TYPE NON-PEPTIDASE HOMOLOGS","Complex-13",5.9e-05,5,52,56,2,"Complex-13, LinearUp-1"
"240","REACTOME pathway","R-DME-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","LinearUp-1",6.12e-05,10,51,438,1,"LinearUp-1"
"241","REACTOME pathway","R-DME-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","LinearUp-1",6.12e-05,10,51,438,1,"LinearUp-1"
"242","SLIM2 GO BP","GO:0000902","cell morphogenesis","LinearDown-4",6.16e-05,28,569,259,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"243","REACTOME pathway","R-DME-70895","Branched-chain amino acid catabolism","Complex-7",6.29e-05,4,16,66,1,"Complex-7"
"244","REACTOME pathway","R-DME-77346","Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA","Complex-7",6.29e-05,3,5,66,1,"Complex-7"
"245","REACTOME pathway","R-DME-77348","Beta oxidation of octanoyl-CoA to hexanoyl-CoA","Complex-7",6.29e-05,3,4,66,1,"Complex-7"
"246","FlyBase Gene Group","FBgg0000458","HETEROTRIMERIC G-PROTEIN SUBUNITS","LinearDown-6",6.44e-05,9,14,1320,1,"LinearDown-6"
"247","SLIM2 GO BP","GO:0050890","cognition","LinearDown-6",6.48e-05,35,162,1320,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"248","REACTOME pathway","R-DME-73762","RNA Polymerase I Transcription Initiation","LinearUp-4",6.74e-05,4,12,119,1,"LinearUp-4"
"249","REACTOME pathway","R-DME-73772","RNA Polymerase I Promoter Escape","LinearUp-4",6.74e-05,5,26,119,1,"LinearUp-4"
"250","REACTOME pathway","R-DME-73854","RNA Polymerase I Promoter Clearance","LinearUp-4",6.74e-05,5,26,119,1,"LinearUp-4"
"251","REACTOME pathway","R-DME-73864","RNA Polymerase I Transcription","LinearUp-4",6.74e-05,5,26,119,1,"LinearUp-4"
"252","DRSC GLAD Gene Group","GLAD:24583","Autophagy-related","LinearUp-7",6.87e-05,11,207,130,2,"Complex-3, LinearUp-7"
"253","REACTOME pathway","R-DME-162582","Signal Transduction","LinearDown-6",7.22e-05,131,884,1320,2,"LinearDown-4, LinearDown-6"
"254","REACTOME pathway","R-DME-4608870","Asymmetric localization of PCP proteins","LinearUp-1",7.23e-05,10,52,438,1,"LinearUp-1"
"255","FlyBase Gene Group","FBgg0001340","OLIGOSACCHARYLTRANSFERASE COMPLEX SUBUNITS","LinearUp-7",7.44e-05,4,11,130,1,"LinearUp-7"
"256","SLIM2 GO BP","GO:0006310","DNA recombination","LinearUp-3",7.56e-05,12,112,286,1,"LinearUp-3"
"257","REACTOME pathway","R-DME-5632684","Hedgehog 'on' state","LinearUp-1",7.57e-05,11,64,438,1,"LinearUp-1"
"258","REACTOME pathway","R-DME-69017","CDK-mediated phosphorylation and removal of Cdc6","LinearUp-1",7.57e-05,11,64,438,1,"LinearUp-1"
"259","DRSC GLAD Gene Group","GLAD:24601","RNA-binding","LinearUp-4",7.64e-05,18,573,119,2,"LinearDown-3, LinearUp-4"
"260","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-6",8.22e-05,67,3610,149,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"261","REACTOME pathway","R-DME-187577","SCF(Skp2)-mediated degradation of p27/p21","LinearUp-1",8.23e-05,10,53,438,2,"Complex-6, LinearUp-1"
"262","FlyBase Gene Group","FBgg0000041","CLASS A GPCRs","LinearDown-4",8.25e-05,10,73,259,1,"LinearDown-4"
"263","FlyBase Gene Group","FBgg0000172","G PROTEIN COUPLED RECEPTORS","LinearDown-4",8.25e-05,12,110,259,1,"LinearDown-4"
"264","FlyBase Gene Group","FBgg0000506","VOLTAGE-GATED POTASSIUM CHANNEL SUBUNITS","LinearDown-4",8.25e-05,5,11,259,1,"LinearDown-4"
"265","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","Complex-6",8.34e-05,21,589,149,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"266","REACTOME pathway","R-DME-68886","M Phase","LinearUp-1",8.89e-05,17,149,438,2,"LinearUp-1, LinearUp-3"
"267","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-2",8.92e-05,15,2313,27,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"268","REACTOME pathway","R-DME-112316","Neuronal System","LinearDown-4",9.08e-05,18,215,259,2,"LinearDown-4, LinearDown-6"
"269","REACTOME pathway","R-DME-8939902","Regulation of RUNX2 expression and activity","LinearUp-1",9.22e-05,10,54,438,1,"LinearUp-1"
"270","REACTOME pathway","R-DME-8941858","Regulation of RUNX3 expression and activity","LinearUp-1",9.22e-05,10,54,438,1,"LinearUp-1"
"271","REACTOME pathway","R-DME-9759194","Nuclear events mediated by NFE2L2","LinearUp-1",9.22e-05,10,54,438,1,"LinearUp-1"
"272","REACTOME pathway","R-DME-1430728","Metabolism","Complex-6",9.3e-05,32,1212,149,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"273","REACTOME pathway","R-DME-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","LinearUp-1",9.38e-05,11,66,438,1,"LinearUp-1"
"274","SLIM2 GO BP","GO:0007626","locomotory behavior","LinearDown-6",9.56e-05,37,186,1320,2,"LinearDown-4, LinearDown-6"
"275","REACTOME pathway","R-DME-174143","APC/C-mediated degradation of cell cycle proteins","LinearUp-1",9.67e-05,12,79,438,1,"LinearUp-1"
"276","REACTOME pathway","R-DME-453276","Regulation of mitotic cell cycle","LinearUp-1",9.67e-05,12,79,438,1,"LinearUp-1"
"277","REACTOME pathway","R-DME-8963684","Tyrosine catabolism","Complex-10",9.74e-05,3,5,78,1,"Complex-10"
"278","REACTOME pathway","R-DME-5358346","Hedgehog ligand biogenesis","LinearUp-1",0.000101,10,55,438,1,"LinearUp-1"
"279","REACTOME pathway","R-DME-69615","G1/S DNA Damage Checkpoints","LinearUp-1",0.000101,10,55,438,2,"Complex-6, LinearUp-1"
"280","REACTOME pathway","R-DME-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","LinearUp-1",0.000101,11,67,438,1,"LinearUp-1"
"281","FlyBase Gene Group","FBgg0000924","CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-10",0.000105,7,106,78,4,"Complex-10, Complex-2, Complex-7, LinearDown-1"
"282","SLIM2 GO BP","GO:0005975","carbohydrate metabolic process","Complex-10",0.000107,10,260,78,3,"Complex-10, Complex-3, LinearDown-6"
"283","REACTOME pathway","R-DME-71387","Metabolism of carbohydrates","Complex-10",0.000109,8,152,78,4,"Complex-10, Complex-3, Complex-6, LinearDown-6"
"284","FlyBase Gene Group","FBgg0001819","NUCLEOLAR COMPLEX ASSOCIATED FAMILY","LinearUp-4",0.00011,3,3,119,1,"LinearUp-4"
"285","SLIM2 GO CC","GO:0005694","chromosome","LinearUp-3",0.000114,30,595,286,2,"LinearUp-2, LinearUp-3"
"286","REACTOME pathway","R-DME-1296071","Potassium Channels","LinearDown-6",0.000114,13,30,1320,2,"LinearDown-4, LinearDown-6"
"287","FlyBase Gene Group","FBgg0000488","MITOCHONDRIAL COMPLEX IV SUBUNITS","LinearDown-6",0.000115,11,22,1320,1,"LinearDown-6"
"288","REACTOME pathway","R-DME-1430728","Metabolism","Complex-2",0.000117,12,1212,27,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"289","REACTOME pathway","R-DME-168249","Innate Immune System","LinearUp-1",0.000118,43,656,438,2,"LinearUp-1, LinearUp-2"
"290","SLIM2 GO BP","GO:0050808","synapse organization","LinearDown-3",0.00012,23,295,334,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"291","SLIM2 GO BP","GO:0051301","cell division","LinearUp-2",0.000127,24,269,421,3,"LinearUp-2, LinearUp-3, LinearUp-7"
"292","SLIM2 GO BP","GO:0007399","nervous system development","LinearDown-6",0.000129,151,1112,1320,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"293","SLIM2 GO BP","GO:0009605","response to external stimulus","LinearUp-2",0.000129,57,995,421,5,"Complex-11, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"294","SLIM2 GO BP","GO:0051321","meiotic cell cycle","LinearUp-2",0.000129,21,221,421,2,"LinearUp-2, LinearUp-3"
"295","REACTOME pathway","R-DME-163210","Formation of ATP by chemiosmotic coupling","LinearDown-6",0.000132,9,15,1320,2,"Complex-12, LinearDown-6"
"296","REACTOME pathway","R-DME-8949613","Cristae formation","LinearDown-6",0.000132,9,15,1320,2,"Complex-12, LinearDown-6"
"297","REACTOME pathway","R-DME-1296072","Voltage gated Potassium channels","LinearDown-4",0.000134,5,10,259,1,"LinearDown-4"
"298","REACTOME pathway","R-DME-5610785","GLI3 is processed to GLI3R by the proteasome","LinearUp-1",0.000135,10,57,438,1,"LinearUp-1"
"299","SLIM2 GO BP","GO:0007389","pattern specification process","LinearUp-5",0.000139,50,508,699,3,"LinearDown-4, LinearUp-2, LinearUp-5"
"300","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","LinearDown-6",0.000143,80,510,1320,5,"LinearDown-4, LinearDown-6, LinearUp-5, LinearUp-7, LinearUp-8"
"301","FlyBase Gene Group","FBgg0001143","OBSTRUCTOR FAMILY","Complex-12",0.000148,4,8,219,1,"Complex-12"
"302","FlyBase Gene Group","FBgg0000559","LIGAND-GATED CHLORIDE CHANNEL SUBUNITS","LinearDown-6",0.000154,8,12,1320,1,"LinearDown-6"
"303","REACTOME pathway","R-DME-6798695","Neutrophil degranulation","LinearUp-1",0.000154,35,494,438,2,"LinearUp-1, LinearUp-2"
"304","REACTOME pathway","R-DME-1236975","Antigen processing-Cross presentation","LinearUp-1",0.000155,10,58,438,1,"LinearUp-1"
"305","FlyBase Gene Group","FBgg0001836","MITOCHONDRIAL COMPLEX I","Complex-12",0.000158,7,43,219,2,"Complex-12, LinearDown-6"
"306","FlyBase Gene Group","FBgg0001687","MITOCHONDRIAL COMPLEX IV - SUPERNUMERARY SUBUNITS","LinearDown-6",0.000163,10,19,1320,1,"LinearDown-6"
"307","SLIM2 GO BP","GO:0016072","rRNA metabolic process","LinearUp-6",0.000163,9,138,115,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"308","REACTOME pathway","R-DME-77286","mitochondrial fatty acid beta-oxidation of saturated fatty acids","Complex-7",0.000164,3,7,66,1,"Complex-7"
"309","REACTOME pathway","R-DME-382556","ABC-family proteins mediated transport","LinearUp-1",0.000166,13,98,438,2,"Complex-6, LinearUp-1"
"310","REACTOME pathway","R-DME-6807070","PTEN Regulation","LinearUp-1",0.000166,13,98,438,1,"LinearUp-1"
"311","SLIM2 GO BP","GO:0000278","mitotic cell cycle","LinearUp-2",0.000173,34,487,421,2,"LinearUp-2, LinearUp-3"
"312","REACTOME pathway","R-DME-5689880","Ub-specific processing proteases","LinearUp-1",0.000174,15,128,438,1,"LinearUp-1"
"313","REACTOME pathway","R-DME-1430728","Metabolism","Complex-3",0.000187,10,1212,21,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"314","REACTOME pathway","R-DME-70370","Galactose catabolism","Complex-3",0.000187,2,3,21,1,"Complex-3"
"315","REACTOME pathway","R-DME-71387","Metabolism of carbohydrates","Complex-3",0.000187,5,152,21,4,"Complex-10, Complex-3, Complex-6, LinearDown-6"
"316","REACTOME pathway","R-DME-450531","Regulation of mRNA stability by proteins that bind AU-rich elements","LinearUp-1",0.000199,12,86,438,1,"LinearUp-1"
"317","REACTOME pathway","R-DME-8948751","Regulation of PTEN stability and activity","LinearUp-1",0.000199,10,60,438,1,"LinearUp-1"
"318","SLIM2 GO BP","GO:0006955","immune response","LinearUp-8",2e-04,22,287,328,3,"LinearUp-2, LinearUp-5, LinearUp-8"
"319","DRSC GLAD Gene Group","GLAD:24607","Transporters","Complex-12",0.000203,25,636,219,2,"Complex-12, LinearDown-6"
"320","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-2",0.00021,12,1657,27,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"321","FlyBase Gene Group","FBgg0001647","RNA POLYMERASE I","LinearUp-4",0.000225,4,12,119,1,"LinearUp-4"
"322","FlyBase Gene Group","FBgg0001576","ATPASES","LinearUp-7",0.000227,8,107,130,1,"LinearUp-7"
"323","REACTOME pathway","R-DME-1428517","The citric acid (TCA) cycle and respiratory electron transport","Complex-12",0.00023,13,155,219,2,"Complex-12, LinearDown-6"
"324","SLIM2 GO BP","GO:0006260","DNA replication","LinearUp-2",0.000241,13,103,421,1,"LinearUp-2"
"325","FlyBase Gene Group","FBgg0000553","CHLORIDE CHANNEL SUBUNITS","LinearDown-6",0.000249,12,28,1320,1,"LinearDown-6"
"326","SLIM2 GO BP","GO:0006520","cellular amino acid metabolic process","Complex-9",0.000253,8,185,69,4,"Complex-10, Complex-6, Complex-7, Complex-9"
"327","FlyBase Gene Group","FBgg0000922","CH-OH GROUP OXIDOREDUCTASES","Complex-10",0.000262,7,127,78,5,"Complex-10, Complex-2, Complex-3, Complex-7, LinearDown-1"
"328","REACTOME pathway","R-DME-69202","Cyclin E associated events during G1/S transition","LinearUp-1",0.000263,10,62,438,2,"Complex-6, LinearUp-1"
"329","REACTOME pathway","R-DME-917729","Endosomal Sorting Complex Required For Transport (ESCRT)","LinearUp-1",0.000267,6,20,438,2,"LinearUp-1, LinearUp-5"
"330","SLIM2 GO CC","GO:0099503","secretory vesicle","LinearDown-6",0.000286,22,91,1320,2,"LinearDown-4, LinearDown-6"
"331","REACTOME pathway","R-DME-69656","Cyclin A:Cdk2-associated events at S phase entry","LinearUp-1",0.000297,10,63,438,2,"Complex-6, LinearUp-1"
"332","REACTOME pathway","R-DME-1592230","Mitochondrial biogenesis","LinearDown-6",0.000312,10,20,1320,2,"Complex-12, LinearDown-6"
"333","REACTOME pathway","R-DME-5688426","Deubiquitination","LinearUp-1",0.000319,17,168,438,1,"LinearUp-1"
"334","REACTOME pathway","R-DME-195253","Degradation of beta-catenin by the destruction complex","LinearUp-1",0.00033,10,64,438,1,"LinearUp-1"
"335","REACTOME pathway","R-DME-8878166","Transcriptional regulation by RUNX2","LinearUp-1",0.00033,10,64,438,1,"LinearUp-1"
"336","SLIM2 GO BP","GO:0006950","response to stress","LinearUp-8",0.000351,54,1197,328,5,"LinearUp-2, LinearUp-3, LinearUp-5, LinearUp-7, LinearUp-8"
"337","SLIM2 GO MF","GO:0008092","cytoskeletal protein binding","LinearDown-6",0.000359,54,304,1320,2,"LinearDown-6, LinearUp-5"
"338","FlyBase Gene Group","FBgg0001024","UNCLASSIFIED DIOXYGENASES","Complex-10",0.000362,3,9,78,1,"Complex-10"
"339","REACTOME pathway","R-DME-68867","Assembly of the pre-replicative complex","LinearUp-1",0.000363,11,78,438,1,"LinearUp-1"
"340","FlyBase Gene Group","FBgg0000116","COAT PROTEIN COMPLEX II","LinearUp-7",0.000365,3,6,130,1,"LinearUp-7"
"341","REACTOME pathway","R-DME-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","LinearUp-1",0.000368,8,41,438,1,"LinearUp-1"
"342","DRSC GLAD Gene Group","GLAD:24604","Spliceosome","LinearDown-4",0.000393,19,319,259,1,"LinearDown-4"
